reading  from file input/AML-116-001_input.csv
rows: 1669
cols: 3
input zeros:3378
input ones:1421
input missing:208
total fp flips allowed:35
adding objective
 ! ----------------------------------------------------------------------------
 ! Minimization problem - 5011 variables, 19000 constraints, 1 phase
 ! Presolve      : 2 extractables eliminated
 ! TimeLimit            = 900
 ! Workers              = 1
 ! LogPeriod            = 10000
 ! Initial process time : 0.12s (0.12s extraction + 0.00s propagation)
 !  . Log search space  : 4808.9 (before), 4808.9 (after)
 !  . Memory usage      : 9.2 MB (before), 9.2 MB (after)
 ! Using sequential search.
 ! ----------------------------------------------------------------------------
 !          Best Branches  Non-fixed            Branch decision
 ! ----------------------------------------------------------------------------
 ! Minimization problem - 5011 variables, 19000 constraints, 1 phase
 ! Presolve      : 2 extractables eliminated
 ! TimeLimit            = 900
 ! Workers              = 1
 ! LogPeriod            = 10000
 ! Initial process time : 0.00s (0.00s extraction + 0.00s propagation)
 !  . Log search space  : 4808.9 (before), 4808.9 (after)
 !  . Memory usage      : 9.2 MB (before), 9.2 MB (after)
 ! Using sequential search.
 ! ----------------------------------------------------------------------------
 !          Best Branches  Non-fixed            Branch decision
                        0       5011                 -
 + New bound is 0
                        6       1424        F     2  = _int5007
 !          Best Branches  Non-fixed            Branch decision
              33    5640k       2372              0  = _int3960
              33    5650k       2456              1  = _int4570
              33    5660k       2380              1  = _int1293
              33    5670k       3221              0  = _int4950
              33    5680k       2358        F     0  = _int489
              33    5690k       3160              0  = _int3013
              33    5700k       2339              1  = _int3262
              33    5710k       2351              0  = _int4187
              33    5720k       3213              0  = _int1842
              33    5730k       2344              0  = _int1463
              33    5740k       2940              0  = _int3117
              33    5750k       2229              0  = _int2526
              33    5760k       3180              0  = _int808
              33    5770k       2223              1  = _int1480
              33    5780k       2233              1  = _int1337
              33    5790k       3480              0  = _int2952
              33    5800k       2320        F     0  = _int1908
              33    5810k       2294        F     0  = _int4619
              33    5820k       3181              1  = _int5002
              33    5830k       3148              0  = _int944
 ! Time = 872.38s, Average fail depth = 507, Memory usage = 41.7 MB
 ! Current bound is 1 (gap is 96.97%)
 !          Best Branches  Non-fixed            Branch decision
              33    5840k       3140              1  = _int1828
              33    5850k       3163              0  = _int4655
              33    5860k       2295              0  = _int4433
              33    5870k       2305        F     0  = _int3603
              33    5880k       2310              0  = _int685
              33    5890k       3117              0  = _int4288
              33    5900k       2361              0  = _int2824
              33    5910k       3187              0  = _int4918
              33    5920k       2288        F     0  = _int4483
              33    5930k       2403              1  = _int469
              33    5940k       2258              1  = _int3859
              33    5950k       2283        F     0  = _int3571
              33    5960k       2276              1  = _int4129
              33    5970k       3185              0  = _int3258
              33    5980k       3109              0  = _int2795
 ! ----------------------------------------------------------------------------
 ! Search terminated by limit, 15 solutions found.
 ! Best objective         : 33 (gap is 96.97%)
 ! Best bound             : 1
 ! Number of branches     : 5986475
 ! Number of fails        : 894889
 ! Total memory usage     : 47.2 MB (41.7 MB CP Optimizer + 5.5 MB Concert)
 ! Time spent in solve    : 900.00s (899.99s engine + 0.00s extraction)
 ! Search speed (br. / s) : 6651.7
 ! ----------------------------------------------------------------------------
solve:1
Flips: 33
Log Likelihood: -373.401
